ticker,company,acquirer,ann_date,close_date,deal_size_m,per_share,max_cvr,has_cvr,payment,premium,ann_to_close_days,data_quality,ret_3m,ret_6m,ret_12m,ret_24m,stage,offer_low,offer_high,offer_ccy,n_parties,direction,first_contact,eng_to_deal_days,leaked_early,leak_detail,llm_error,inflections
DNA,GENENTECH INC,Roche Holding Ltd,2008-07-21,2009-03-26,100074.3,95.0,95.0,False,cash,0.2707,248,ok,-0.0568,0.101,-0.0009,-0.0671,Marketed products + Phase 3 pipeline,86.5,95.0,USD,1,inbound,2007-12-01,233,True,The Wall Street Journal + 8 months early (June 2008),,Adjuvant Colon Cancer (C-08) trial data | Release of 2008 Financial Plan | Rejection of $89.00 proposal | Positive clinical data release
SCRX,"SCIELE PHARMA, INC.","Shionogi & Co., Ltd.",2008-09-01,2008-10-09,1003.0,31.0,31.0,False,cash,0.6333,38,ok,-0.1081,-0.2215,-0.1861,0.0747,Marketed lead asset (Sular),28.5,31.0,USD,6,inbound,2008-04-29,125,False,,,Shionogi acquisition announcement
GNLB,"GENELABS TECHNOLOGIES, INC.",GlaxoSmithKline plc,2008-10-29,2009-01-07,57.0,1.3,1.3,False,cash,1.766,70,ok,-0.3088,-0.4471,-0.7526,-0.6968,Late-stage (Prestara) + Discovery/Preclinical (HCV),1.03,1.3,USD,23,both,2008-09-19,40,False,,,
ALO,ALPHARMA INC,"King Pharmaceuticals, Inc.",2008-11-24,2008-12-29,1547.6,37.0,37.0,False,cash,0.2568,35,ok,0.1838,0.15,0.4161,0.3255,NDA / Priority Review lead + 1 marketed drug,33.0,37.0,USD,3,inbound,2008-07-11,136,True,Forbes + 3 months early,,EMBEDA NDA / Priority Review | ELADUR Phase 2 licensing deal | Kadian divestiture to Actavis
OMRI,"Omrix Biopharmaceuticals, Inc.",Johnson & Johnson,2008-11-24,,428.3,25.0,25.0,False,cash,0.6949,,ok,-0.2245,-0.0527,-0.558,-0.4801,Phase 3 lead + 2 marketed products,21.0,25.0,USD,4,both,2008-08-01,115,True,Globes + 3 months early,,
MEMY,MEMORY PHARMACEUTICALS CORP,Hoffmann-La Roche Inc.,2008-11-25,2009-01-05,50.2,0.61,0.61,False,cash,3.19,41,ok,-0.7667,-0.8056,-0.9255,-0.9739,Phase 2 lead + Phase 1 and 2 assets,0.55,0.61,USD,2,inbound,2008-10-21,35,False,,,
ENDP,"Indevus Pharmaceuticals, Inc.",Endo Pharmaceuticals Holdings Inc.,2009-01-05,2009-03-23,351.8,4.5,7.5,True,cash,0.8672,77,ok,0.2751,0.7464,-0.6752,-0.6461,1 approved drug + Phase 3/NDA lead assets,6.5,7.5,USD,1,inbound,2008-09-19,108,False,,,FDA Complete Response Letter for NEBIDO (June 2008)
TARG,Targanta Therapeutics Corporation,The Medicines Company,2009-01-12,2009-02-25,42.0,2.0,6.55,True,mixed,0.9231,44,ok,-0.8482,-0.8562,-0.8861,,Phase 3 (Complete Response Letter received),1.8,6.55,USD,26,outbound,2008-09-02,132,False,,,FDA advisory committee negative vote | FDA Complete Response Letter for oritavancin | Stock price drop of 82% following FDA panel
IDMI,"IDM PHARMA, INC.",Takeda Pharmaceutical Company Limited,2009-05-18,2009-06-24,66.7,2.64,2.64,False,cash,0.427,37,ok,0.0054,0.1078,-0.1886,-0.4182,Approved (Europe) / Phase 3 (US),1.94,2.64,USD,50,outbound,2006-12-08,892,False,,,FDA ODAC negative vote on MEPACT | CHMP positive opinion for MEPACT in Europe
CGRB,"Cougar Biotechnology, Inc.",Johnson & Johnson,2009-05-21,2009-07-03,894.0,43.0,43.0,False,cash,0.2729,43,ok,0.1521,0.2619,0.7243,0.3743,"Phase 3 lead, pre-revenue",28.0,43.0,USD,20,outbound,2008-11-14,188,True,Rodman & Renshaw analyst note 1 month early,,FDA Special Protocol Assessment (SPA) for abiraterone acetate | Phase 3 clinical trial initiation for prostate cancer
MGRM,"Monogram Biosciences, Inc.",Laboratory Corporation of America Holdings,2009-06-23,2009-08-04,104.8,4.55,4.55,False,cash,0.82,42,ok,-0.1197,0.1111,-0.6212,-0.7535,Commercial (HIV and Oncology diagnostics),3.0,4.55,USD,1,inbound,2008-10-31,235,False,,,Scientific diligence on VeraTag oncology platform | Re-evaluation of 0% notes 'put right' cost | Maturing $55M convertible debt obligations
NOVN,NOVEN PHARMACEUTICALS INC,"Hisamitsu Pharmaceutical Co., Inc.",2009-07-14,2009-08-20,413.5,16.5,16.5,False,cash,0.3819,37,ok,0.2425,0.0437,0.0538,-0.4021,Marketed product + Phase 2 lead asset,14.0,16.5,USD,1,inbound,2009-03-25,111,False,,,Daytrana peel force issues | Generic challenges to Novogyne JV | Positive Phase 2 results for Mesafem
AVGN,"Avigen, Inc.","MediciNova, Inc.",2009-08-21,2009-12-15,31.9,1.19,1.24,True,mixed,-0.0916,116,ok,0.0826,0.4086,-0.5932,-0.7718,Phase 2 lead + 1 failed Phase 2 asset,1.0,1.24,USD,3,both,2008-12-08,256,True,Greenbackd/PR Newswire + 8 months early,,AV650 trial failure (Oct 2008) | AV513 asset sale to Baxter (Dec 2008) | BVF hostile tender offer launch (Jan 2009) | MediciNova definitive merger agreement (Aug 2009)
SEPR,Sepracor Inc.,"Dainippon Sumitomo Pharma Co., Ltd.",2009-09-03,2009-10-20,2552.8,23.0,23.0,False,cash,0.3143,47,ok,0.3198,0.1513,-0.0046,-0.3737,Marketed products + Phase 3 lead,15.0,23.0,USD,7,both,2009-05-27,99,True,BioCentury/Analysts + 2-5 years early,,Lunesta pediatric exclusivity extension | SEP-225289 Phase 2 trial failure | Strong Q2 results and synergy value | Stedesa Phase 3 / NDA status
CHTT,CHATTEM INC,sanofi-aventis,2009-12-21,2010-03-10,1774.6,93.5,93.5,False,cash,0.4073,79,ok,0.0773,0.177,-0.041,-0.1182,Marketed OTC portfolio + Rx-to-OTC switch platform,85.0,93.5,USD,1,inbound,2009-08-28,115,False,,,Sanofi-aventis acquisition announcement
OSIP,OSI PHARMACEUTICALS INC,"Astellas US Holding, Inc.",2010-03-01,2010-06-08,3426.1,57.5,57.5,False,cash,0.6803,99,ok,0.0621,0.0127,-0.0388,-0.0694,Marketed lead + Phase 3 pipeline,52.0,57.5,USD,2,inbound,2009-01-14,411,True,Astellas/Reuters + 14 months early,,Astellas public hostile tender offer | FDA approval of Tarceva for first-line maintenance | OSI Board rejection of $52.00 offer
PPCO,PENWEST PHARMACEUTICALS CO,Endo Pharmaceuticals Holdings Inc.,2010-08-09,2010-11-04,159.7,5.0,5.0,False,cash,0.5291,87,ok,-0.0942,0.2925,0.2625,-0.1886,Marketed product + Phase 2 lead asset,4.0,5.0,USD,1,inbound,2010-07-23,17,True,Reuters/Bloomberg + 2 months early,,Endo NDA for non-Penwest TRF Product | Tang Capital proxy contest victory | Board mandate to wind down and return capital
ZGEN,"ZYMOGENETICS, INC.",Bristol-Myers Squibb Company,2010-09-07,2010-10-12,844.2,9.75,9.75,False,cash,1.3897,35,ok,-0.157,-0.2062,-0.2139,-0.4365,Phase 2 lead + 1 marketed product,8.0,9.75,USD,1,inbound,2008-07-24,775,False,,,Global collaboration with BMS for PEG-IFN-lambda | Phase 2 development of PEG-IFN-lambda | Commercialization of RECOTHROM | Phase 2 development of IL-21
GENZ,GENZYME CORP,sanofi-aventis,2010-10-04,2011-04-08,19165.3,74.0,,False,mixed,0.0498,186,ok,0.4762,0.228,0.2326,0.0913,Phase 3 lead + 2 approved drugs,69.0,74.0,USD,3,inbound,2010-07-29,67,True,Bloomberg/WSJ + 7 months early,,Manufacturing supply issues (Cerezyme/Fabrazyme) | Alemtuzumab Phase 3 clinical progress | Sanofi unsolicited $69.00 tender offer
KG,KING PHARMACEUTICALS INC,Pfizer Inc.,2010-10-11,2011-02-28,3561.9,14.25,14.25,False,cash,0.5208,140,ok,0.1742,-0.2419,-0.1185,0.1358,Commercial with marketed products (Altace) + pipeline,11.0,14.25,USD,5,both,2010-06-03,130,True,Wall Street Journal/Barron's 4 months early,,
EURX,EURAND N.V.,Axcan Holdings Inc.,2010-12-01,2011-01-20,576.2,12.0,12.0,False,cash,0.0949,50,ok,0.3786,0.0641,-0.171,0.4811,Marketed lead asset + Phase 3/Pending FDA,11.0,12.0,USD,26,both,2010-07-13,141,False,,,ZENPEP market share projections | Ultrase/Ultresa FDA approval delays
CYPB,CYPRESS BIOSCIENCE INC,Ramius Value and Opportunity Advisors LLC,2010-12-14,2010-12-14,250.8,6.5,6.5,False,cash,0.6332,0,ok,0.0446,-0.0613,-0.3311,-0.3288,Phase 2b lead + 1 marketed drug (royalty interest),4.0,6.5,USD,3,inbound,2010-05-27,201,True,Business Wire reported Ramius's $4.00 offer 5 months early,,License agreement with BioLineRx for CYP-1020 | Ramius unsolicited $4.00 per share proposal | Ramius hostile tender offer at $4.25 | Cypress Board strategic alternatives evaluation
MTXX,"MATRIXX INITIATIVES, INC.","H.I.G. Capital, LLC",2010-12-14,2011-02-18,82.2,8.75,8.75,False,cash,0.6478,66,ok,0.1543,0.1274,0.4011,-0.6616,Marketed OTC products + product recall status,6.5,8.75,USD,1,inbound,2010-01-20,328,False,,,FDA warning letter and product recall | Settlement of $15.5M personal injury litigation
MATK,MARTEK BIOSCIENCES CORPORATION,Koninklijke DSM N.V.,2010-12-21,2011-02-25,1056.3,31.5,31.5,False,cash,0.4266,66,ok,0.0667,0.1639,0.2192,-0.2317,Marketed products (ARA + Amerifit),27.0,31.5,USD,5,both,2009-12-08,378,False,,,
CLDA,CLINICAL DATA INC,"Forest Laboratories, Inc.",2011-02-22,2011-04-12,932.7,30.0,36.0,True,cash,0.996,49,ok,-0.2005,0.0931,-0.0571,0.8,Approved lead asset + Phase 3 pipeline,24.0,30.0,USD,24,outbound,2009-04-16,677,False,,,FDA approval of Viibryd | Hiring J.P. Morgan for strategic alternatives | Company A offer of $24.00/share
ISPH,"Inspire Pharmaceuticals, Inc.","Merck & Co., Inc.",2011-04-05,2011-05-16,416.5,5.0,5.0,False,cash,0.25,41,ok,-0.4278,-0.1935,-0.3559,-0.1111,Phase 3 (failed) lead + 2 marketed drugs,4.4,5.0,USD,4,outbound,2011-02-23,41,False,,,Denufosol Phase 3 trial failure | Merck acquisition announcement
ICGN,ICAGEN INC,Pfizer Inc.,2011-07-20,2011-10-27,53.1,6.0,6.0,False,cash,1.8037,99,ok,-0.2045,0.4759,-0.3631,-0.3313,Phase 2 lead + Pre-clinical,4.0,6.0,USD,43,both,2011-04-13,98,False,,,Pfizer 13D filing disclosing strategic evaluation | Nav 1.7 Program partnership with Pfizer | ICA-105665 Phase 2 development
ANDS,"Anadys Pharmaceuticals, Inc.",Roche Holding Ltd,2011-10-17,2011-11-23,211.6,3.7,3.7,False,cash,2.8947,37,ok,0.0215,-0.1593,-0.4663,-0.5701,Phase 2 lead + clinical secondary asset,3.0,3.7,USD,15,outbound,2010-08-25,418,True,FierceBiotech/Reuters + 17 months early (Strategic Review announcement),,Phase IIa clinical data for setrobuvir | Pricing of $25M public offering | Clinical collaboration agreement with Party A | Unblinded 12-week Phase IIb data for setrobuvir
ADLR,ADOLOR CORPORATION,"Cubist Pharmaceuticals, Inc.",2011-10-24,2011-12-12,198.1,4.25,8.75,True,cash,1.4566,49,ok,-0.0281,0.2014,0.5727,0.1931,Phase 2 lead + 1 approved drug,4.0,4.25,USD,11,both,2011-03-30,208,False,,,Positive Phase 2 results for ADL5945
VRUS,Pharmasset Inc,"Gilead Sciences, Inc.",2011-11-21,2012-01-17,10376.1,137.0,137.0,False,cash,,57,ok,,,,,Phase 3 lead + Phase 2b assets,100.0,137.0,USD,5,both,2011-06-20,154,False,,,AASLD conference data for PSI-7977 | Commencement of late-stage clinical trials for PSI-7977
MITI,"MICROMET, INC.",Amgen Inc.,2012-01-26,2012-03-07,1016.1,11.0,11.0,False,cash,,41,ok,,,,,Phase 2 lead + BiTE platform,9.0,11.0,USD,28,both,2011-01-10,381,True,Industry Analysis + 6 months early,,Solid tumor BiTE collaboration with Amgen | Initiation of formal partnering process for blinatumomab | Amgen acquisition proposal
AMLN,AMYLIN PHARMACEUTICALS INC,Bristol-Myers Squibb Company,2012-06-29,2012-08-08,5076.8,31.0,31.0,False,cash,0.1597,40,ok,0.5613,1.6918,0.9874,0.4363,"Commercial, 2 approved drugs + Phase 2/3 pipeline",22.0,31.0,USD,12,both,2012-02-15,135,True,Bloomberg + 3 months early,,Termination of Eli Lilly collaboration | FDA approval of BYDUREON | Bloomberg report of rejected $22.00 BMS bid | Initiation of formal auction process
DUSA,"DUSA PHARMACEUTICALS, INC.",Sun Pharmaceutical Industries Limited,2012-11-08,2012-12-20,200.2,8.0,8.0,False,cash,0.1747,42,ok,0.2801,0.1542,0.8356,1.5894,"Marketed products (Levulan Kerastick, BLU-U) + Phase 2 label expansion",6.98,8.0,USD,30,outbound,2012-05-11,181,False,,,
MAPP,"MAP Pharmaceuticals, Inc.","Allergan, Inc.",2013-01-22,2013-03-01,889.2,25.0,25.0,False,cash,,38,ok,,,,,NDA Resubmission (PDUFA April 2013),19.0,25.0,USD,2,inbound,2012-10-29,85,False,,,FDA accepts NDA resubmission for LEVADEX | Collaboration and Co-Promotion Agreements with Allergan
OMPI,"Obagi Medical Products, Inc.","Valeant Pharmaceuticals International, Inc.",2013-03-20,2013-04-25,418.4,24.0,24.0,False,cash,0.6795,36,ok,0.1129,0.072,0.1948,0.1441,"Commercial, marketed core product line",16.5,24.0,USD,12,both,2013-02-12,36,True,L.A. Business Journal reported Allergan/Medicis interest 3+ months early,,Unsolicited bid from Bidder C | Allergan acquisition of SkinMedica | Retention of professional advisors for strategic review | Amendment of merger agreement to $24.00
ELN,"ELAN CORPORATION, PLC",Royalty Pharma,2013-05-15,,,,,False,cash,,,ok,0.1615,0.1008,-0.1037,0.4163,Commercial (Tysabri royalty interest),11.0,15.5,USD,7,both,2013-02-22,82,True,Bloomberg/Reuters reported bids/rumors starting Jan 2009 and Feb 2013,,Sale of Tysabri interest to Biogen Idec | Royalty Pharma unsolicited approach | Launch of formal sale process
TSRX,Trius Therapeutics Inc,"Cubist Pharmaceuticals, Inc.",2013-07-30,2013-09-11,651.6,13.5,15.5,True,cash,0.6667,43,ok,0.1842,0.6946,0.4062,0.0858,Phase 3 / NDA preparation,12.25,13.5,USD,13,inbound,2012-07-24,371,True,Zacks Investment Research + 16 months early,,
ONXX,"Onyx Pharmaceuticals, Inc.",Amgen Inc.,2013-08-25,2013-10-01,9178.8,125.0,125.0,False,cash,-0.0509,37,ok,0.391,0.6755,0.6945,3.1237,3 approved drugs + Phase 3 lead asset,120.0,125.0,USD,13,inbound,2013-06-06,80,True,Reuters/BioSpace + 16 months early,,Amgen unsolicited $120 proposal | DMC FOCUS study continuation recommendation | Amgen demand for unblinded FOCUS data
SNTS,SANTARUS INC,"Salix Pharmaceuticals, Ltd.",2013-11-07,2014-01-02,2154.4,32.0,32.0,False,cash,0.4292,56,ok,0.0187,0.328,1.3519,6.8838,Marketed (Uceris) + Phase 3 (Ruconest),4.5,32.0,USD,16,both,2010-06-01,1255,False,,,Commercial success of Uceris | Ruconest regulatory pathway concerns | License Amendment with Cosmo Technologies
CADX,Cadence Pharmaceuticals Inc,Mallinckrodt plc,2014-02-10,2014-03-19,1248.6,14.0,14.0,False,cash (with contingent value right option),0.3605,37,ok,0.7441,0.3684,0.9126,1.5533,1 approved drug,11.25,14.0,USD,8,both,2013-11-11,91,False,,,Favorable patent infringement ruling vs Exela | Board approval of strategic transaction path | Execution of Merger Agreement with Mallinckrodt
CHTP,"Chelsea Therapeutics International, Ltd.",H. Lundbeck A/S,2014-05-08,2014-06-23,508.3,6.44,7.94,True,mixed,0.2105,46,ok,0.52,0.8219,1.7708,1.4182,1 approved drug (accelerated approval),6.44,6.44,USD,13,outbound,2013-04-12,391,True,Fierce Pharma + 1.5 months early,,FDA Complete Response Letter for Northera | FDA Advisory Committee 16-to-1 vote for approval | FDA accelerated approval for Northera
IDIX,"Idenix Pharmaceuticals, Inc.","Merck & Co., Inc.",2014-06-09,2014-08-05,3708.8,24.5,24.5,False,cash,3.7852,57,ok,-0.2536,0.177,0.4066,-0.4616,Phase 1/2 lead asset,7.18,24.5,USD,4,both,2013-12-01,190,True,FierceBiotech + 2 years early,,FDA clinical hold on IDX184 (Aug 2012) | Positive Phase I/II data for IDX21437 (April 2014)
CADI,Cadista Holdings Inc.,Jubilant Life Sciences Ltd.,2014-08-01,,188.5,1.6,1.6,False,cash,,,ok,,,,,Commercial + Marketed generic products,1.2,1.6,USD,2,inbound,2013-09-03,332,False,,,Loss of major retail customer for Methylprednisolone | Increased competition and pricing pressure for Meclizine | Requirement for $17 million in capital expenditures
ITMN,"INTERMUNE, INC.",Roche Holding Ltd,2014-08-24,2014-09-29,8020.6,74.0,74.0,False,cash,0.6264,36,ok,0.5335,1.7003,2.0681,4.7233,Phase 3 / NDA Resubmission,57.0,74.0,USD,5,inbound,2014-07-25,30,True,Reuters reported M&A interest 5 months early,,Positive top-line data from Phase 3 ASCEND study | Breakthrough Therapy designation from FDA | Public rumors of potential transaction
AMBI,AMBIT BIOSCIENCES CORP,"Daiichi Sankyo Company, Limited",2014-09-28,2014-11-10,270.0,15.0,19.5,True,cash,0.9815,43,ok,0.0955,-0.3061,-0.4401,,Phase 3 lead asset,12.0,15.0,USD,2,both,2013-12-16,286,False,,,
DRTX,"Durata Therapeutics, Inc.",Actavis plc,2014-10-06,2014-11-17,616.2,23.0,28.0,True,cash,0.5405,42,ok,-0.0686,0.0551,0.6756,0.5766,Approved lead asset + Phase 3 expansion,18.0,23.0,USD,7,both,2014-09-22,14,False,,,Positive Phase 3 data for dalbavancin | FDA approval of Dalvance (dalbavancin) | EMA approval and single-dose labeling milestones
AGN,ALLERGAN INC,Actavis plc,2014-11-16,2015-03-17,38355.7,129.22,219.0,True,mixed,-0.272,121,ok,0.0603,0.3253,0.956,1.0008,Phase 3 lead + 1 approved drug,153.0,219.0,USD,4,both,2014-04-21,209,True,WSJ + 18 months early (Oct 2012),,DARPin (abicipar pegol) Phase 3 | OZURDEX approval for DME | Valeant/Pershing Square hostile bid | Actavis white knight approach
AVNR,"AVANIR PHARMACEUTICALS, INC.","Otsuka Pharmaceutical Co., Ltd.",2014-12-02,2015-01-13,3294.8,17.0,17.0,False,cash,0.3138,42,ok,1.4554,1.7948,2.0234,4.035,1 marketed drug + Phase 2/3 pipeline,15.0,17.0,USD,5,inbound,2013-05-13,568,True,Bloomberg/JMP Group + 2 months early,,Positive Phase II results for AVP-923 in Alzheimer's agitation | FDA Complete Response Letter for AVP-825 | 85% stock surge following Alzheimer's data
CBST,Cubist Pharmaceuticals Inc.,"Merck & Co., Inc.",2014-12-08,2015-01-21,7795.0,102.0,102.0,False,cash,0.2521,44,ok,0.0193,0.0593,0.3458,0.919,Phase 3 lead + 4 approved drugs,85.0,102.0,USD,5,both,2014-05-05,217,False,,,Merger announcement with Merck
NPSP,"NPS Pharmaceuticals, Inc.",Shire plc,2015-01-11,2015-02-21,4994.7,46.0,46.0,False,cash,0.4706,41,ok,-0.0434,-0.0965,0.2669,2.5028,1 commercial drug + 1 pending FDA approval,41.0,46.0,USD,12,both,2014-11-14,58,True,Financial Times reported Shire interest 7 months early,,"Natpara PDUFA date (Jan 24, 2015) | Gattex commercialization"
