file,company,ticker,cik,status,buyer,acquirer,data_quality,deal_type,payment_type,announcement_date,board_rec_date,tender_exp_date,close_date,ann_year,per_share_upfront,max_per_share_cvr,has_cvr,shares_out,implied_equity_value_m,ann_to_close_days,ann_to_tender_days,currency,premium_override,override_source,unaffected_close,last_pre_close,premium_to_unaffected,premium_to_last,runup_4wk_pct,pct_premium_pre_captured,vol_ratio_4wk,n_price_weeks
akouos_inc_AKUS.md,"Akouos, Inc.",AKUS,1722271,completed,Kearny Acquisition Corporation,Eli Lilly and Company,ok,tender offer,cash,2022-10-18,2022-10-17,2022-11-29,2022-12-01,2022,12.5,15.5,True,36935938.0,461.7,44,42,USD,False,,5.16,7.39,1.4225,0.6915,0.4322,0.3038,0.91,111
albireo_pharma_inc_ALBO.md,"ALBIREO PHARMA, INC.",ALBO,1322505,completed,"Ipsen Biopharmaceuticals, Inc.",Ipsen S.A.,ok,tender offer,cash,2023-01-09,2023-01-08,2023-03-01,2023-03-02,2023,42.0,52.0,True,20863673.0,876.3,52,51,USD,False,,21.36,22.82,0.9663,0.8405,0.0684,0.0707,0.85,112
alder_biopharmaceuticals_inc_ALDR.md,"Alder BioPharmaceuticals, Inc.",ALDR,1423824,completed,Lundbeck LLC,H. Lundbeck A/S,ok,tender offer,cash,2019-09-16,2019-09-15,2019-10-21,2019-10-22,2019,18.0,20.0,True,83836702.0,1509.1,36,35,USD,False,,9.59,10.06,0.877,0.7893,0.049,0.0559,0.67,110
alere_inc_ALR.md,ALERE INC.,ALR,1145460,completed,Abbott Laboratories,Abbott Laboratories,ok,merger,cash,2016-01-30,2017-06-06,,2017-10-03,2016,51.0,51.0,False,87368721.0,4455.8,612,,USD,False,,39.09,37.2,0.3047,0.371,-0.0483,-0.1587,1.94,193
alexza_pharmaceuticals_inc_ALXA.md,Alexza Pharmaceuticals Inc.,ALXA,1344413,completed,"Ferrer Pharma, Inc.","Grupo Ferrer Internacional, S.A.",ok,tender offer,mixed,2016-05-10,2016-05-09,2016-06-20,2016-06-21,2016,0.9,2.56,True,21750615.0,19.6,42,41,USD,False,,0.5,0.54,0.8,0.6667,0.08,0.1,0.24,111
allakos_inc_ALLK.md,Allakos Inc.,ALLK,1564824,completed,"Concentra Biosciences, LLC","Concentra Biosciences, LLC",ok,tender offer,cash,2025-04-02,2025-03-30,2025-05-14,2025-05-15,2025,0.33,0.33,False,90376972.0,29.8,43,42,USD,False,,0.28,0.23,0.1786,0.4348,-0.1786,-1.0,0.23,111
allergan_inc_AGN.md,ALLERGAN INC,AGN,850693,completed,Actavis plc,Actavis plc,ok,merger,mixed,2014-11-16,2014-11-16,,2015-03-17,2014,129.22,219.0,True,296824582.0,38355.7,121,,USD,False,,177.49,198.65,-0.272,-0.3495,0.1192,-0.4384,1.16,123
alpharma_inc_ALO.md,ALPHARMA INC,ALO,730469,completed,"King Pharmaceuticals, Inc.","King Pharmaceuticals, Inc.",ok,tender offer,cash,2008-11-24,2008-11-23,2008-12-19,2008-12-29,2008,37.0,37.0,False,41827154.0,1547.6,35,25,USD,False,,29.44,33.5,0.2568,0.1045,0.1379,0.537,0.59,110
alpine_immune_sciences_inc_ALPN.md,"ALPINE IMMUNE SCIENCES, INC.",ALPN,1626199,completed,Vertex Pharmaceuticals Incorporated,Vertex Pharmaceuticals Incorporated,ok,tender offer,cash,2024-04-10,2024-04-10,2024-05-17,2024-05-20,2024,65.0,65.0,False,65603313.0,4264.2,40,37,USD,False,,35.93,34.91,0.8091,0.8619,-0.0284,-0.0351,1.19,110
amag_pharmaceuticals_inc_AMAG.md,"AMAG PHARMACEUTICALS, INC.",AMAG,792977,completed,Covis Group S.à r.l.,Covis Group S.à r.l.,ok,tender offer,cash,2020-10-01,2020-10-01,2020-11-12,2020-11-16,2020,13.75,13.75,False,34502648.0,474.4,46,42,USD,False,,10.29,8.93,0.3362,0.5398,-0.1322,-0.3931,1.06,112
ambit_biosciences_corp_AMBI.md,AMBIT BIOSCIENCES CORP,AMBI,1131543,completed,"Daiichi Sankyo Company, Limited","Daiichi Sankyo Company, Limited",ok,tender offer,cash,2014-09-28,2014-09-28,2014-11-10,2014-11-10,2014,15.0,19.5,True,18002484.0,270.0,43,43,USD,False,,7.57,8.2,0.9815,0.8293,0.0832,0.0848,0.77,79
amylin_pharmaceuticals_inc_AMLN.md,AMYLIN PHARMACEUTICALS INC,AMLN,881464,completed,Bristol-Myers Squibb Company,Bristol-Myers Squibb Company,ok,tender offer,cash,2012-06-29,2012-06-29,2012-08-07,2012-08-08,2012,31.0,31.0,False,163768702.0,5076.8,40,39,USD,False,,26.73,27.92,0.1597,0.1103,0.0445,0.2787,0.81,111
anacor_pharmaceuticals_inc_ANAC.md,"Anacor Pharmaceuticals, Inc.",ANAC,1411158,completed,Quattro Merger Sub Inc.,Pfizer Inc.,ok,tender offer,cash,2016-05-16,2016-05-13,2016-06-23,2016-06-24,2016,99.25,99.25,False,45444071.0,4510.3,39,38,USD,False,,64.71,64.03,0.5338,0.5501,-0.0105,-0.0197,0.81,25
anadys_pharmaceuticals_inc_ands.md,"Anadys Pharmaceuticals, Inc.",ANDS,0001128495,completed,Hoffmann-La Roche Inc.,Roche Holding Ltd,ok,tender offer,cash,2011-10-17,2011-10-17,2011-11-23,2011-11-23,2011,3.7,3.7,False,57176285.0,211.6,37,37,USD,False,,0.95,1.04,2.8947,2.5577,0.0947,0.0327,1.23,110
anormed_inc_ANOR.md,AnorMED Inc.,ANOR,1341988,completed,Genzyme Corporation,Genzyme Corporation,ok,tender offer,cash,2006-08-30,2006-10-17,2006-11-07,2006-11-07,2006,13.5,13.5,False,41977011.0,566.7,69,69,USD,False,,6.41,5.51,1.1061,1.4501,-0.1404,-0.1269,0.44,54
apellis_pharmaceuticals_inc_APLS.md,"Apellis Pharmaceuticals, Inc.",APLS,1492422,completed,"Aspen Purchaser Sub, Inc.",Biogen Inc.,ok,tender offer,cash,2026-03-31,2026-03-30,2026-05-13,2026-05-14,2026,41.0,45.0,True,128007815.0,5248.3,44,43,USD,False,,20.96,16.97,0.9561,1.416,-0.1904,-0.1991,0.78,111
applied_genetic_technologies_corp_AGTC.md,Applied Genetic Technologies Corporation,AGTC,1273636,completed,Alliance Holdco Limited,Syncona Limited,ok,tender offer,mixed,2022-10-24,2022-10-23,2022-11-30,2022-11-30,2022,0.34,1.07,True,67632195.0,23.0,37,37,USD,False,,0.29,0.24,0.1724,0.4167,-0.1724,-1.0,0.65,110
applied_therapeutics_inc_APLT.md,"Applied Therapeutics, Inc.",APLT,1697532,completed,"AT2B, Inc.",Cycle Group Holdings Limited,ok,tender offer,cash,2025-12-11,2025-12-11,2026-02-02,2026-02-03,2025,0.088,0.488,True,153957727.0,13.5,54,53,USD,False,,0.85,0.22,-0.8965,-0.6,-0.7412,0.8268,3.56,113
arcellx_inc_aclx.md,"Arcellx, Inc.",ACLX,1786205,completed,"Gilead Sciences, Inc.","Gilead Sciences, Inc.",ok,tender offer,mixed,2026-02-23,2026-02-22,2026-04-27,2026-04-28,2026,115.0,120.0,True,58672448.0,6747.3,64,63,USD,False,,67.7,64.11,0.6987,0.7938,-0.053,-0.0759,0.67,114
ariad_pharmaceuticals_inc_ARIA.md,ARIAD PHARMACEUTICALS INC,ARIA,884731,completed,"Kiku Merger Co., Inc.",Takeda Pharmaceutical Company Limited,ok,tender offer,cash,2017-01-09,2017-01-08,2017-02-15,2017-02-16,2017,24.0,24.0,False,194580850.0,4669.9,38,37,USD,False,,12.68,13.74,0.8927,0.7467,0.0836,0.0936,0.4,110
armo_biosciences_inc_armo.md,"ARMO BioSciences, Inc.",ARMO,0001693664,completed,Eli Lilly and Company,Eli Lilly and Company,ok,tender offer,cash,2018-05-10,2018-05-09,2018-06-21,2018-06-22,2018,50.0,50.0,False,30405109.0,1520.3,43,42,USD,False,,35.89,27.98,0.3931,0.787,-0.2204,-0.5606,,22
arqule_inc_arql.md,"ArQule, Inc.",ARQL,1019695,completed,Merck Sharp & Dohme Corp.,Merck Sharp & Dohme Corp.,ok,tender offer + merger under DGCL Section 251(h),cash,2019-12-09,2019-12-06,2020-01-15,2020-01-16,2019,20.0,20.0,False,120873271.0,2417.5,38,37,USD,False,,7.22,9.67,1.7701,1.0683,0.3393,0.1917,2.31,33
array_biopharma_inc_ARRY.md,ARRAY BIOPHARMA INC,ARRY,1100412,completed,Pfizer Inc.,Pfizer Inc.,ok,tender offer,cash,2019-06-17,2019-06-14,2019-07-29,2019-07-30,2019,48.0,48.0,False,223128985.0,10710.2,43,42,USD,False,,21.86,27.14,1.1958,0.7686,0.2415,0.202,1.95,102
assertio_holdings_inc_ASRT.md,"Assertio Holdings, Inc.",ASRT,1808665,completed,Zara Merger Sub Inc.,Zydus Worldwide DMCC,ok,tender offer,cash,2026-05-13,2026-05-13,2026-06-15,2026-06-16,2026,23.5,23.5,False,6462180.0,151.9,34,33,USD,False,,18.02,22.5,0.3041,0.0444,0.2486,0.8175,3.39,110
assertio_therapeutics_inc_ASRT.md,"Depomed, Inc.",ASRT,1005201,terminated,Horizon Pharma plc,Horizon Pharma plc,ok,tender offer,stock,2015-07-07,2015-09-11,2015-11-06,,2015,0.95,27.54,True,60367385.0,57.3,,122,USD,False,,21.89,20.84,-0.9566,-0.9544,-0.048,0.0501,0.69,118
audentes_therapeutics_inc_BOLD.md,"Audentes Therapeutics, Inc.",BOLD,1628738,completed,Astellas Pharma Inc.,Astellas Pharma Inc.,ok,tender offer,cash,2019-12-02,2019-12-01,2020-01-14,2020-01-15,2019,60.0,60.0,False,46272171.0,2776.3,44,43,USD,False,,29.06,29.03,1.0647,1.0668,-0.001,-0.001,0.78,111
auspex_pharmaceuticals_inc_ASPX.md,"Auspex Pharmaceuticals, Inc.",ASPX,1454189,completed,Teva Pharmaceutical Industries Ltd.,Teva Pharmaceutical Industries Ltd.,ok,tender offer,cash,2015-03-30,2015-03-29,2015-05-05,2015-05-05,2015,101.0,101.0,False,31834373.0,3215.3,36,36,USD,False,,67.24,70.91,0.5021,0.4243,0.0546,0.1087,1.35,66
avanir_pharmaceuticals_inc_AVNR.md,"AVANIR PHARMACEUTICALS, INC.",AVNR,858803,completed,"Otsuka Pharmaceutical Co., Ltd.","Otsuka Pharmaceutical Co., Ltd.",ok,tender offer,cash,2014-12-02,2014-12-01,2015-01-12,2015-01-13,2014,17.0,17.0,False,193811203.0,3294.8,42,41,USD,False,,12.94,14.92,0.3138,0.1394,0.153,0.4877,0.32,111
avexis_inc_AVXS.md,"AveXis, Inc.",AVXS,1652923,completed,Novartis AM Merger Corporation,Novartis AG,ok,tender offer,cash,2018-04-09,2018-04-06,2018-05-14,2018-05-15,2018,218.0,225.0,True,36816253.0,8025.9,36,35,USD,False,,136.93,115.91,0.5921,0.8808,-0.1535,-0.2593,0.6,110
avigen_inc_de_AVGN.md,"Avigen, Inc.",AVGN,932903,completed,"MediciNova, Inc.","MediciNova, Inc.",ok,merger,mixed,2009-08-21,2009-01-29,,2009-12-15,2009,1.19,1.24,True,26769115.0,31.9,116,,USD,False,,1.31,1.34,-0.0916,-0.1119,0.0229,-0.25,0.49,122
bayer_schering_pharma_aktiengesellschaft_no_ticker.md,SCHERING AKTIENGESELLSCHAFT,no_ticker,1124139,completed,Bayer Aktiengesellschaft,Bayer Aktiengesellschaft,ok,tender offer,cash,2006-03-23,2006-03-24,2006-07-06,2006-10-27,2006,89.36,89.36,False,194000000.0,17335.8,218,105,USD,False,,,,,,,,,0
biodelivery_sciences_international_bdsi.md,BioDelivery Sciences International Inc.,BDSI,1103021,completed,Collegium Pharmaceuticals Inc.,Collegium Pharmaceuticals Inc.,ok,tender offer + merger,cash,2022-02-14,2022-02-13,2022-03-18,2022-03-22,2022,5.6,5.6,False,101535580.0,568.6,36,32,USD,False,,3.51,5.56,0.5954,0.0072,0.584,0.9809,3.83,111
bioenvision_inc_BIVN.md,"BIOENVISION, INC.",BIVN,1028205,completed,Genzyme Corporation,Genzyme Corporation,ok,tender offer,cash,2007-05-29,2007-05-28,2007-07-02,2007-10-10,2007,5.6,5.6,False,55035739.0,308.2,134,34,USD,False,,3.7,5.25,0.5135,0.0667,0.4189,0.8158,3.38,124
biospecifics_technologies_corp_BSTC.md,BioSpecifics Technologies Corp.,BSTC,875622,completed,Beta Acquisition Corp.,Endo International plc,ok,tender offer,cash,2020-10-19,2020-10-16,2020-12-01,2020-12-02,2020,88.5,88.5,False,7344955.0,650.0,44,43,USD,False,,56.79,61.02,0.5584,0.4503,0.0745,0.1334,1.02,111
biotie_therapies_corp_BITI.md,Biotie Therapies Oyj,BITI,1579695,completed,"Acorda Therapeutics, Inc.","Acorda Therapeutics, Inc.",ok,tender offer,cash,2016-01-19,2016-01-19,2016-04-08,2016-04-11,2016,0.2946,0.2946,False,980921795.0,289.0,83,80,USD,False,,14.0,13.2,-0.979,-0.9777,-0.0571,0.0584,0.92,45
bioverativ_inc_BIVV.md,Bioverativ Inc.,BIVV,1681689,completed,Sanofi,Sanofi,ok,tender offer,cash,2018-01-22,2018-01-21,2018-03-07,2018-03-08,2018,105.0,105.0,False,108223091.0,11363.4,45,44,USD,False,,54.04,64.11,0.943,0.6378,0.1863,0.1976,0.57,58
bluebird_bio_inc_BLUE.md,"bluebird bio, Inc.",BLUE,1293971,completed,"Beacon Merger Sub, Inc.","Beacon Parent Holdings, L.P. (backed by The Carlyle Group and SK Capital Partners)",ok,tender offer,cash,2025-02-21,2025-02-20,2025-05-29,2025-06-02,2025,3.0,9.84,True,9741657.0,29.2,101,97,USD,False,,7.8,7.27,-0.6154,-0.5873,-0.0679,0.1104,0.42,119
blueprint_medicines_corp_BPMC.md,Blueprint Medicines Corporation,BPMC,1597264,completed,Aventis Inc.,SANOFI,ok,tender offer,cash,2025-06-02,2025-05-31,2025-07-17,2025-07-17,2025,129.0,135.0,True,64733629.0,8350.6,45,45,USD,False,,104.64,101.35,0.2328,0.2728,-0.0314,-0.1351,0.68,111
cadence_pharmaceuticals_cadx.md,Cadence Pharmaceuticals Inc,CADX,1333248,completed,Mallinckrodt plc,Mallinckrodt plc,ok,tender offer followed by Section 251(h) merger,cash (with contingent value right option),2014-02-10,2014-02-10,2014-03-18,2014-03-19,2014,14.0,14.0,False,89183960.0,1248.6,37,36,USD,False,,10.29,11.05,0.3605,0.267,0.0739,0.2049,0.96,111
cadista_holdings_inc_CADI.md,Cadista Holdings Inc.,CADI,1521762,pending,Jubilant Pharma Limited,Jubilant Life Sciences Ltd.,ok,tender offer,cash,2014-08-01,2014-10-24,,,2014,1.6,1.6,False,117797180.0,188.5,,,USD,False,,,,,,,,,0
calliditas_therapeutics_ab_CALT.md,Calliditas Therapeutics AB (publ),CALT,1795579,pending,Asahi Kasei Corporation,Asahi Kasei Corporation,ok,tender offer,cash,2024-05-28,2024-05-27,2024-08-30,,2024,208.0,208.0,False,59941465.0,12467.8,,94,SEK,True,https://www.calliditas.se/en/recommended-offer/,113.6,113.6,0.83,0.83,,,0.73,118
cargo_therapeutics_inc_CRGX.md,"CARGO Therapeutics, Inc.",CRGX,1966494,completed,"Concentra Biosciences, LLC","Tang Capital Partners, LP",ok,tender offer,cash,2025-07-08,2025-07-07,2025-08-18,2025-08-19,2025,4.379,4.59,True,46516983.0,203.7,42,41,USD,False,,4.75,4.46,-0.0781,-0.0182,-0.0611,0.7817,0.58,94
celator_pharmaceuticals_inc_cpxx.md,Celator Pharmaceuticals Inc,CPXX,1327467,completed,Jazz Pharmaceuticals plc,Jazz Pharmaceuticals plc,ok,tender offer followed by merger,cash,2016-05-27,2016-05-27,2016-07-11,2016-07-12,2016,30.25,30.25,False,42966043.0,1299.7,46,45,USD,False,,14.84,16.9,1.0384,0.7899,0.1388,0.1337,0.45,107
cellular_dynamics_international_inc_ICEL.md,"CELLULAR DYNAMICS INTERNATIONAL, INC.",ICEL,1482080,completed,Badger Acquisition Corporation,FUJIFILM Holdings Corporation,ok,tender offer,cash,2015-03-30,2015-03-29,2015-04-30,2015-05-01,2015,16.5,16.5,False,15814008.0,260.9,32,31,USD,False,,5.43,7.94,2.0387,1.0781,0.4622,0.2267,2.84,93
chattem_inc_CHTT.md,CHATTEM INC,CHTT,19520,completed,River Acquisition Corp.,sanofi-aventis,ok,tender offer,cash,2009-12-21,2009-12-20,2010-02-08,2010-03-10,2009,93.5,93.5,False,18979170.0,1774.6,79,49,USD,False,,66.44,69.98,0.4073,0.3361,0.0533,0.1308,0.64,116
checkmate_pharmaceuticals_inc_CMPI.md,"Checkmate Pharmaceuticals, Inc.",CMPI,1651431,completed,"Regeneron Pharmaceuticals, Inc.","Regeneron Pharmaceuticals, Inc.",ok,tender offer,cash,2022-04-19,2022-04-18,2022-05-27,2022-05-31,2022,10.5,10.5,False,22031231.0,231.3,42,38,USD,False,,3.15,2.54,2.3333,3.1339,-0.1937,-0.083,0.45,96
chelsea_therapeutics_international_ltd_CHTP.md,"Chelsea Therapeutics International, Ltd.",CHTP,1333763,completed,H. Lundbeck A/S,H. Lundbeck A/S,ok,tender offer,mixed,2014-05-08,2014-05-07,2014-06-20,2014-06-23,2014,6.44,7.94,True,78935852.0,508.3,46,43,USD,False,,5.32,5.13,0.2105,0.2554,-0.0357,-0.1696,0.39,112
chembio_diagnostics_inc_CEMI.md,"CHEMBIO DIAGNOSTICS, INC.",CEMI,1092662,completed,Biosynex SA,Biosynex SA,ok,tender offer,cash,2023-01-31,2023-01-31,2023-04-26,2023-04-27,2023,0.45,0.45,False,36725858.0,16.5,86,85,USD,False,,0.22,0.35,1.0455,0.2857,0.5909,0.5652,1.91,117
chimerix_inc_cmrx.md,"Chimerix, Inc.",CMRX,1117480,completed,Jazz Pharmaceuticals Public Limited Company,Jazz Pharmaceuticals Public Limited Company,ok,tender offer followed by merger under DGCL Section 251(h),cash,2025-03-05,2025-03-04,2025-04-17,2025-04-21,2025,8.55,8.55,False,93803846.0,802.0,47,43,USD,False,,3.94,5.25,1.1701,0.6286,0.3325,0.2842,0.27,111
cidara_therapeutics_inc_CDTX.md,"Cidara Therapeutics, Inc.",CDTX,1610618,completed,Merck Sharp & Dohme LLC,"Merck & Co., Inc.",ok,tender offer,cash,2025-11-14,2025-11-13,2026-01-06,2026-01-07,2025,221.5,221.5,False,31504288.0,6978.2,54,53,USD,False,,101.52,104.39,1.1818,1.1219,0.0283,0.0239,0.94,113
cincor_pharma_inc_CINC.md,"CinCor Pharma, Inc.",CINC,1868734,completed,AstraZeneca Finance and Holdings Inc.,AstraZeneca PLC,ok,tender offer,cash,2023-01-09,2023-01-08,2023-02-23,2023-02-24,2023,26.0,36.0,True,43783800.0,1138.4,46,45,USD,False,,11.94,11.78,1.1776,1.2071,-0.0134,-0.0114,0.7,60
clinical_data_inc_CLDA.md,CLINICAL DATA INC,CLDA,716646,completed,Magnolia Acquisition Corp.,"Forest Laboratories, Inc.",ok,tender offer,cash,2011-02-22,2011-02-21,2011-04-11,2011-04-12,2011,30.0,36.0,True,31090561.0,932.7,49,48,USD,False,,15.03,33.9,0.996,-0.115,1.2555,1.2605,7.56,112
coley_pharmaceutical_group_inc_COLY.md,"Coley Pharmaceutical Group, Inc.",COLY,1319197,completed,Pfizer Inc.,Pfizer Inc.,ok,tender offer,cash,2007-11-16,2007-11-15,2007-12-28,2008-01-04,2007,8.0,8.0,False,26741697.0,213.9,49,42,USD,False,,2.97,3.26,1.6936,1.454,0.0976,0.0577,1.56,112
collagenex_pharmaceuticals_inc_CGPI.md,COLLAGENEX PHARMACEUTICALS INC,CGPI,1012270,completed,"Galderma Laboratories, Inc.",Galderma Pharma S.A.,ok,tender offer,cash,2008-02-26,2008-02-25,2008-04-04,2008-04-10,2008,16.6,16.6,False,21576533.0,358.2,44,38,USD,False,,11.75,12.63,0.4128,0.3143,0.0749,0.1814,1.13,111
colucid_pharmaceuticals_inc_CLCD.md,"CoLucid Pharmaceuticals, Inc.",CLCD,1348649,completed,Eli Lilly and Company,Eli Lilly and Company,ok,tender offer,cash,2017-01-18,2017-01-17,2017-02-28,2017-03-01,2017,46.5,46.5,False,19284290.0,896.7,42,41,USD,False,,36.15,34.3,0.2863,0.3557,-0.0512,-0.1787,0.7,96
concert_pharmaceuticals_inc_CNCE.md,"Concert Pharmaceuticals, Inc.",CNCE,1367920,completed,Sun Pharmaceutical Industries Ltd.,Sun Pharmaceutical Industries Ltd.,ok,tender offer,cash,2023-01-19,2023-01-18,2023-03-03,2023-03-06,2023,8.0,11.5,True,62211678.0,497.7,46,43,USD,False,,4.7,7.05,0.7021,0.1348,0.5,0.7121,1.23,112
constellation_pharmaceuticals_inc_CNST.md,CONSTELLATION PHARMACEUTICALS INC,CNST,1434418,completed,MorphoSys AG,MorphoSys AG,ok,tender offer,cash,2021-06-02,2021-06-01,2021-07-14,2021-07-15,2021,34.0,34.0,False,48054654.0,1633.9,43,42,USD,False,,21.62,19.81,0.5726,0.7163,-0.0837,-0.1462,0.89,111
cotherix_inc_CTRX.md,COTHERIX INC,CTRX,1138812,completed,Actelion US Holding Company,Actelion Ltd.,ok,tender offer,cash,2006-11-19,2006-11-19,2007-01-08,2007-01-09,2006,13.5,13.5,False,28783794.0,388.6,51,50,USD,False,,3.87,4.69,2.4884,1.8785,0.2119,0.0852,1.35,31
cougar_biotechnology_inc_CGRB.md,"Cougar Biotechnology, Inc.",CGRB,1335102,completed,Johnson & Johnson,Johnson & Johnson,ok,tender offer,cash,2009-05-21,2009-05-21,2009-07-02,2009-07-03,2009,43.0,43.0,False,20791368.0,894.0,43,42,USD,False,,33.78,35.14,0.2729,0.2237,0.0403,0.1475,1.06,109
cti_biopharma_corp_CTIC.md,CTI BIOPHARMA CORP,CTIC,891293,completed,Cleopatra Acquisition Corp.,Swedish Orphan Biovitrum AB (publ),ok,tender offer,cash,2023-05-10,2023-05-09,2023-06-23,2023-06-26,2023,9.1,9.1,False,131880176.0,1200.1,47,44,USD,False,,4.23,4.9,1.1513,0.8571,0.1584,0.1376,1.01,112
cubist_pharmaceuticals_cbst.md,Cubist Pharmaceuticals Inc.,CBST,912183,completed,"Merck & Co., Inc.","Merck & Co., Inc.",ok,tender offer followed by merger,cash,2014-12-08,2014-12-07,2015-01-20,2015-01-21,2014,102.0,102.0,False,76421535.0,7795.0,44,43,USD,False,,81.46,74.36,0.2521,0.3717,-0.0872,-0.3457,1.31,32
curevac_n_v_CVAC.md,CureVac N.V.,CVAC,1809122,pending,BioNTech SE,BioNTech SE,ok,tender offer,stock,2025-06-12,2025-06-11,2025-11-19,,2025,5.4641,5.4641,True,225181647.0,1230.4,,160,USD,False,,3.47,4.41,0.5747,0.239,0.2709,0.4714,1.25,118
cymabay_therapeutics_inc_CBAY.md,"CymaBay Therapeutics, Inc.",CBAY,1042074,completed,"Pacific Merger Sub, Inc.","Gilead Sciences, Inc.",ok,tender offer,cash,2024-02-12,2024-02-11,2024-03-21,2024-03-22,2024,32.5,32.5,False,114811001.0,3731.4,39,38,USD,False,,23.76,25.69,0.3678,0.2651,0.0812,0.2208,0.67,110
cypress_bioscience_inc_CYPB.md,CYPRESS BIOSCIENCE INC,CYPB,716054,completed,Ramius Value and Opportunity Advisors LLC,Ramius Value and Opportunity Advisors LLC,ok,tender offer,cash,2010-12-14,2010-12-14,2011-03-14,2010-12-14,2010,6.5,6.5,False,38588190.0,250.8,0,90,USD,False,,3.98,4.93,0.6332,0.3185,0.2387,0.377,1.12,105
